#start
#stop
# omega	 amplitude	 phase
113.726	0.00010076	0.411839
113.883	0.000103018	-1.23161
114.04	0.00010487	-2.83416
114.197	0.000102593	1.84479
114.354	0.000100287	0.20042
114.511	0.000102075	-1.44556
114.668	0.000104128	-3.05254
114.825	0.000102325	1.62797
114.982	9.98914e-05	-0.0118318
115.139	0.000101218	-1.65919
115.296	0.000103378	3.01267
115.454	0.000102043	1.41078
115.611	9.9573e-05	-0.224375
115.768	0.000100434	-1.872
115.925	0.000102582	2.79558
116.082	0.000101666	1.19337
116.239	9.92623e-05	-0.437832
116.396	9.97422e-05	-2.08489
116.553	0.000101824	2.57921
116.71	0.00010125	0.976457
116.867	9.89138e-05	-0.651357
117.024	9.90432e-05	-2.29784
117.181	0.000101044	2.36282
117.338	0.000100803	0.759151
117.496	9.85848e-05	-0.865486
117.653	9.84023e-05	-2.51093
117.81	0.000100293	2.14662
117.967	0.000100361	0.541857
118.124	9.82838e-05	-1.07971
118.281	9.77987e-05	-2.7237
118.438	9.95332e-05	1.93084
118.595	9.98864e-05	0.324496
118.752	9.79979e-05	-1.29424
118.909	9.72392e-05	-2.93622
119.066	9.87543e-05	1.71563
119.223	9.93417e-05	0.107025
119.381	9.7702e-05	-1.50963
119.538	9.67652e-05	3.13407
119.695	9.80427e-05	1.5011
119.852	9.87664e-05	-0.109657
120.009	9.73328e-05	-1.72497
120.166	9.62586e-05	2.92073
120.323	9.73291e-05	1.28618
120.48	9.81876e-05	-0.326795
120.637	9.69929e-05	-1.94102
120.794	9.58476e-05	2.70701
120.951	9.67137e-05	1.07182
121.108	9.76269e-05	-0.542947
121.265	9.66019e-05	-2.15653
121.423	9.53948e-05	2.49319
121.58	9.60972e-05	0.857272
121.737	9.70726e-05	-0.759098
121.894	9.62055e-05	-2.37202
122.051	9.49418e-05	2.27929
122.208	9.54898e-05	0.642715
122.365	9.65162e-05	-0.975181
122.522	9.57933e-05	-2.58761
122.679	9.44885e-05	2.06506
122.836	9.49161e-05	0.427882
122.993	9.60079e-05	-1.1912
123.15	9.54103e-05	-2.80279
123.308	9.40289e-05	1.85133
123.465	9.4307e-05	0.213349
123.622	9.54522e-05	-1.40725
123.779	9.4986e-05	-3.01835
123.936	9.35579e-05	1.63692
124.093	9.37381e-05	-0.0018974
124.25	9.49798e-05	-1.62358
124.407	9.46378e-05	3.04971
124.564	9.31002e-05	1.4233
124.721	9.3125e-05	-0.216775
124.878	9.4476e-05	-1.84021
125.035	9.43133e-05	2.83422
125.192	9.26863e-05	1.20983
125.35	9.25205e-05	-0.431213
125.507	9.39516e-05	-2.05663
125.664	9.39738e-05	2.61872
125.821	9.22628e-05	0.996401
125.978	9.18949e-05	-0.645719
126.135	9.34182e-05	-2.27343
126.292	9.36634e-05	2.40291
126.449	9.18735e-05	0.78313
126.606	9.12587e-05	-0.859954
126.763	9.28598e-05	-2.49052
126.92	9.3382e-05	2.18655
127.077	9.1559e-05	0.569888
127.235	9.06604e-05	-1.07346
127.392	9.22764e-05	-2.70704
127.549	9.30645e-05	1.97034
127.706	9.12166e-05	0.356754
127.863	9.00089e-05	-1.28697
128.02	9.16349e-05	-2.92429
128.177	9.27664e-05	1.75288
128.334	9.09891e-05	0.142932
128.491	8.94709e-05	-1.49992
128.648	9.10246e-05	-3.14057
128.805	9.24482e-05	1.53604
128.962	9.07342e-05	-0.0704902
129.119	8.88873e-05	-1.71259
129.277	9.03566e-05	2.92604
129.434	9.21219e-05	1.31847
129.591	9.05335e-05	-0.284272
129.748	8.83403e-05	-1.92483
129.905	8.96612e-05	2.70971
130.062	9.17773e-05	1.10048
130.219	9.03764e-05	-0.498382
130.376	8.78352e-05	-2.13661
130.533	8.89361e-05	2.49382
130.69	9.13947e-05	0.882147
130.847	9.02468e-05	-0.712999
131.004	8.73818e-05	-2.34816
131.161	8.82066e-05	2.27837
131.319	9.09894e-05	0.66372
131.476	9.01384e-05	-0.927808
131.633	8.69544e-05	-2.55927
131.79	8.7434e-05	2.06338
131.947	9.05259e-05	0.444888
132.104	9.00372e-05	-1.14334
132.261	8.6571e-05	-2.7705
132.418	8.66627e-05	1.84846
132.575	9.00687e-05	0.225524
132.732	9.00178e-05	-1.35926
132.889	8.62772e-05	-2.98083
133.046	8.58555e-05	1.63485
133.204	8.95121e-05	0.00614825
133.361	8.99784e-05	-1.57598
133.518	8.60346e-05	3.09193
133.675	8.50331e-05	1.42176
133.832	8.88985e-05	-0.213718
133.989	8.99767e-05	-1.79373
134.146	8.59086e-05	2.88168
134.303	8.42168e-05	1.21009
134.46	8.81789e-05	-0.433487
134.617	8.99527e-05	-2.01269
134.774	8.58979e-05	2.67103
134.931	8.34473e-05	0.999861
