#start
#stop
# omega	 amplitude	 phase
82.3097	1.95331e-10	2.82744
82.4668	1.83092e-10	2.7489
82.6239	1.71599e-10	2.67037
82.781	1.60807e-10	2.59183
82.938	1.50675e-10	2.51329
83.0951	1.41164e-10	2.43475
83.2522	1.32237e-10	2.35621
83.4093	1.23859e-10	2.27767
83.5664	1.15998e-10	2.19913
83.7234	1.08622e-10	2.12059
83.8805	1.01703e-10	2.04205
84.0376	9.52128e-11	1.96352
84.1947	8.91257e-11	1.88498
84.3518	8.34174e-11	1.80644
84.5088	7.80651e-11	1.7279
84.6659	7.30471e-11	1.64936
84.823	6.83433e-11	1.57082
84.9801	6.39345e-11	1.49228
85.1372	5.98027e-11	1.41374
85.2942	5.5931e-11	1.33519
85.4513	5.23035e-11	1.25665
85.6084	4.89052e-11	1.17811
85.7655	4.57221e-11	1.09957
85.9226	4.27409e-11	1.02102
86.0796	3.99492e-11	0.942481
86.2367	3.73351e-11	0.863937
86.3938	3.48879e-11	0.785392
86.5509	3.2597e-11	0.706847
86.708	3.04528e-11	0.628301
86.865	2.84462e-11	0.549754
87.0221	2.65685e-11	0.471206
87.1792	2.48117e-11	0.392658
87.3363	2.31682e-11	0.314109
87.4934	2.16309e-11	0.235559
87.6504	2.01932e-11	0.157009
87.8075	1.88487e-11	0.0784578
87.9646	1.75916e-11	-9.41466e-05
88.1217	1.64163e-11	-0.0786467
88.2788	1.53177e-11	-0.1572
88.4358	1.42908e-11	-0.235754
88.5929	1.33312e-11	-0.314308
88.75	1.24344e-11	-0.392863
88.9071	1.15966e-11	-0.471418
89.0642	1.0814e-11	-0.549973
89.2212	1.00829e-11	-0.628528
89.3783	9.40012e-12	-0.707082
89.5354	8.76251e-12	-0.785637
89.6925	8.16716e-12	-0.86419
89.8495	7.61135e-12	-0.942743
90.0066	7.0925e-12	-1.02129
90.1637	6.60823e-12	-1.09984
90.3208	6.15628e-12	-1.17839
90.4779	5.73456e-12	-1.25694
90.6349	5.34107e-12	-1.33548
90.792	4.97399e-12	-1.41402
90.9491	4.63158e-12	-1.49256
91.1062	4.31223e-12	-1.57109
91.2633	4.01441e-12	-1.64962
91.4203	3.7367e-12	-1.72814
91.5774	3.47779e-12	-1.80666
91.7345	3.23642e-12	-1.88517
91.8916	3.01144e-12	-1.96367
92.0487	2.80175e-12	-2.04216
92.2057	2.60635e-12	-2.12065
92.3628	2.42427e-12	-2.19913
92.5199	2.25463e-12	-2.27759
92.677	2.0966e-12	-2.35605
92.8341	1.9494e-12	-2.4345
92.9911	1.81231e-12	-2.51293
93.1482	1.68464e-12	-2.59135
93.3053	1.56576e-12	-2.66976
93.4624	1.45508e-12	-2.74816
93.6195	1.35204e-12	-2.82654
93.7765	1.25612e-12	-2.90491
93.9336	1.16686e-12	-2.98326
94.0907	1.08378e-12	-3.06161
94.2478	1.00648e-12	-3.13993
94.4049	9.34554e-13	3.06493
94.5619	8.67642e-13	2.98663
94.719	8.05401e-13	2.90834
94.8761	7.4751e-13	2.83005
95.0332	6.93674e-13	2.75178
95.1903	6.43613e-13	2.6735
95.3473	5.97068e-13	2.59524
95.5044	5.53798e-13	2.51697
95.6615	5.13577e-13	2.4387
95.8186	4.76197e-13	2.36043
95.9757	4.4146e-13	2.28214
96.1327	4.09185e-13	2.20383
96.2898	3.79201e-13	2.12551
96.4469	3.5135e-13	2.04716
96.604	3.25485e-13	1.96877
96.7611	3.01468e-13	1.89033
96.9181	2.7917e-13	1.81185
97.0752	2.58474e-13	1.73331
97.2323	2.39266e-13	1.65469
97.3894	2.21445e-13	1.57599
97.5465	2.04912e-13	1.4972
97.7035	1.8958e-13	1.4183
97.8606	1.75364e-13	1.33929
98.0177	1.62185e-13	1.26013
98.1748	1.49973e-13	1.18084
98.3319	1.38658e-13	1.10137
98.4889	1.28179e-13	1.02173
98.646	1.18477e-13	0.941889
98.8031	1.09496e-13	0.86184
98.9602	1.01187e-13	0.781563
99.1172	9.3502e-14	0.701042
99.2743	8.63969e-14	0.620264
99.4314	7.98301e-14	0.539217
99.5885	7.3764e-14	0.457885
99.7456	6.81624e-14	0.376263
99.9026	6.29923e-14	0.294343
100.06	5.82223e-14	0.21212
100.217	5.38242e-14	0.129592
100.374	4.977e-14	0.04677
100.531	4.6035e-14	-0.0363309
100.688	4.25954e-14	-0.1197
100.845	3.94293e-14	-0.203306
101.002	3.65161e-14	-0.287117
101.159	3.38368e-14	-0.371096
101.316	3.13728e-14	-0.45518
101.473	2.91079e-14	-0.539308
101.631	2.70263e-14	-0.623416
101.788	2.51133e-14	-0.707407
101.945	2.33555e-14	-0.791188
102.102	2.17394e-14	-0.874662
102.259	2.02539e-14	-0.957713
102.416	1.8887e-14	-1.04022
102.573	1.76292e-14	-1.12205
102.73	1.6471e-14	-1.20307
102.887	1.54027e-14	-1.28314
103.044	1.44169e-14	-1.36213
103.201	1.3506e-14	-1.43988
103.358	1.2663e-14	-1.51627
103.515	1.18813e-14	-1.59115
103.673	1.11556e-14	-1.66438
103.83	1.04806e-14	-1.73586
103.987	9.85141e-15	-1.80541
104.144	9.26395e-15	-1.87295
